dataset_id,dataset_name,dataset_title,display_name,id,name,state,vocabulary_id
40d80be5-0c09-47c4-80f3-fad4bec19f33,hidrometeorologiskie-noverojumi,Hidrometeoroloģiskie novērojumi,Hidroloģiskie dati,7ce897c7-a329-4726-a641-485bec706574,Hidroloģiskie dati,active,
40d80be5-0c09-47c4-80f3-fad4bec19f33,hidrometeorologiskie-noverojumi,Hidrometeoroloģiskie novērojumi,Meteoroloģiskie dati,9a9eecdb-046c-4bcb-86e3-cf7ac2aaf2f6,Meteoroloģiskie dati,active,
40d80be5-0c09-47c4-80f3-fad4bec19f33,hidrometeorologiskie-noverojumi,Hidrometeoroloģiskie novērojumi,augstvērtīgā datu kopa,4ec96ccf-b9dd-4aaf-beaf-b835ee6588d1,augstvērtīgā datu kopa,active,
9b7a9f65-58b7-4e0d-a4fd-dee6e4a1f5d3,eadrese,Oficiālā elektroniskā adrese (e-adrese),PIKTAPS,547c9bb3-8f79-458a-825f-85a1dd94c79b,PIKTAPS,active,
9b7a9f65-58b7-4e0d-a4fd-dee6e4a1f5d3,eadrese,Oficiālā elektroniskā adrese (e-adrese),e-adrese,b6d68d57-a947-489d-8532-86ed99e3010c,e-adrese,active,
1936ed28-16df-4588-819e-8a5143a50c81,telpiskie-hidrometeorologiskie-noverojumi,Telpiskie hidrometeoroloģiskie novērojumi,Hidroloģiskie dati,7ce897c7-a329-4726-a641-485bec706574,Hidroloģiskie dati,active,
1936ed28-16df-4588-819e-8a5143a50c81,telpiskie-hidrometeorologiskie-noverojumi,Telpiskie hidrometeoroloģiskie novērojumi,Meteoroloģiskie dati,9a9eecdb-046c-4bcb-86e3-cf7ac2aaf2f6,Meteoroloģiskie dati,active,
1936ed28-16df-4588-819e-8a5143a50c81,telpiskie-hidrometeorologiskie-noverojumi,Telpiskie hidrometeoroloģiskie novērojumi,augstvērtīgā datu kopa,4ec96ccf-b9dd-4aaf-beaf-b835ee6588d1,augstvērtīgā datu kopa,active,
64882fbe-7ce3-4c93-bda6-de9bf57fb03c,socialo-pakalpojumu-sniedzeju-registra-dati,Sociālo pakalpojumu sniedzēju reģistra dati,Sociālo pakalpojumu sniedzēju reģistrs,5d167f62-c786-44b2-a8dc-d2445120ffff,Sociālo pakalpojumu sniedzēju reģistrs,active,
5d9b0379-c0b8-4ce9-9094-7c30b5502433,hidrologiskas-prognozes,Hidroloģiskās prognozes,Hidroloģija,51ea38a7-d50e-45b6-9b91-d183df8c8d77,Hidroloģija,active,
