dataset_id,title,organization_title,Findability,Accessibility,Interoperability,Reusability,Contextuality,MQA_total,MQA_percent,MQA_rating,I_keyword,I_theme,I_spatial,I_temporal,I_accessURL_accessible,I_downloadURL,I_downloadURL_accessible,I_format,I_mimetype,I_format_media_vocab,I_nonproprietary,I_machine_readable,I_dcat_ap_compliance,I_license,I_license_vocab,I_access_rights,I_access_rights_vocab,I_contact_point,I_publisher,I_rights,I_byte_size,I_issued,I_modified,I_downloadable,I_zip_contains_machine_readable
40d80be5-0c09-47c4-80f3-fad4bec19f33,Hidrometeoroloģiskie novērojumi,"Latvijas Vides, ģeoloģijas un meteoroloģijas centrs",30,100,80,60,15,285,70.37,Good,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0
9b7a9f65-58b7-4e0d-a4fd-dee6e4a1f5d3,Oficiālā elektroniskā adrese (e-adrese),Valsts digitālās attīstības aģentūra,30,100,80,60,15,285,70.37,Good,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0
1936ed28-16df-4588-819e-8a5143a50c81,Telpiskie hidrometeoroloģiskie novērojumi,"Latvijas Vides, ģeoloģijas un meteoroloģijas centrs",30,100,80,60,15,285,70.37,Good,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0
64882fbe-7ce3-4c93-bda6-de9bf57fb03c,Sociālo pakalpojumu sniedzēju reģistra dati,Labklājības ministrija,30,100,80,60,15,285,70.37,Good,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0
5d9b0379-c0b8-4ce9-9094-7c30b5502433,Hidroloģiskās prognozes,"Latvijas Vides, ģeoloģijas un meteoroloģijas centrs",30,100,80,60,15,285,70.37,Good,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0
693c289a-f2c4-4911-bc32-69fd17dbf700,Pirkuma pasūtījumu datu grupa,Valsts digitālās attīstības aģentūra,30,100,80,60,15,285,70.37,Good,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0
38844c79-3e22-41fe-98a4-2e1897731c74,Sabiedriskā darba vidējais stundu skaits aktīvajiem klientiem,Valsts probācijas dienests,30,100,80,60,15,285,70.37,Good,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0
1a5bfdeb-bd31-4b1e-9bc6-4461b8a4e401,"Uzraudzības klientu skaits, kas no šajā mēnesī (gadā) slēgtajām uzraudzības lietām nav izdarījuši recidīvu",Valsts probācijas dienests,30,100,80,60,15,285,70.37,Good,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0
6608f565-2422-443d-87fb-1801bd32c05e,Veiksmīgu izlīgumu skaits – puses izlīga,Valsts probācijas dienests,30,100,80,60,15,285,70.37,Good,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0
eef8f725-1fe2-4c4b-ad79-9558e21437da,Uzraudzības klientu izmaiņas ekonomiskajā aktivitātē,Valsts probācijas dienests,30,100,80,60,15,285,70.37,Good,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0
